Date,Currency,Exchange
1/27/2015,AUD,1.2589
1/27/2015,EUR,0.8845
1/27/2015,GBP,0.6609
1/28/2015,USD,1
1/28/2015,CAD,1.2421
1/28/2015,AUD,1.2548
1/28/2015,EUR,0.8815
1/28/2015,GBP,0.6581
1/29/2015,USD,1
1/29/2015,CAD,1.2531
1/29/2015,AUD,1.2846
1/29/2015,EUR,0.8838
1/29/2015,GBP,0.6608
1/30/2015,USD,1
1/30/2015,CAD,1.267
1/30/2015,AUD,1.2857
1/30/2015,EUR,0.8846
1/30/2015,GBP,0.6644
1/31/2015,USD,1
1/31/2015,CAD,1.267
1/31/2015,AUD,1.2857
1/31/2015,EUR,0.8846
1/31/2015,GBP,0.6644
02-01-15,USD,1
02-01-15,CAD,1.267
02-01-15,AUD,1.2857
02-01-15,EUR,0.8846
02-01-15,GBP,0.6644
02-02-15,USD,1
02-02-15,CAD,1.2672
02-02-15,AUD,1.2841
02-02-15,EUR,0.8842
02-02-15,GBP,0.6654
02-03-15,USD,1
02-03-15,CAD,1.2584
02-03-15,AUD,1.3009
02-03-15,EUR,0.879
02-03-15,GBP,0.6628
02-04-15,USD,1
02-04-15,CAD,1.2452
02-04-15,AUD,1.2862
02-04-15,EUR,0.8737
02-04-15,GBP,0.6566
02-05-15,USD,1
02-05-15,CAD,1.2524
02-05-15,AUD,1.281
02-05-15,EUR,0.8764
02-05-15,GBP,0.6557
02-06-15,USD,1
02-06-15,CAD,1.2445
02-06-15,AUD,1.273
02-06-15,EUR,0.8736
02-06-15,GBP,0.6528
02-07-15,USD,1
02-07-15,CAD,1.2445
02-07-15,AUD,1.273
02-07-15,EUR,0.8736
02-07-15,GBP,0.6528
02-08-15,USD,1
02-08-15,CAD,1.2445
02-08-15,AUD,1.273
02-08-15,EUR,0.8736
02-08-15,GBP,0.6528
02-09-15,USD,1
02-09-15,CAD,1.25
02-09-15,AUD,1.2798
02-09-15,EUR,0.8869
02-09-15,GBP,0.6576
02-10-15,USD,1
02-10-15,CAD,1.2471
02-10-15,AUD,1.2855
02-10-15,EUR,0.8852
02-10-15,GBP,0.6568
02-11-15,USD,1
02-11-15,CAD,1.2611
02-11-15,AUD,1.291
02-11-15,EUR,0.8839
02-11-15,GBP,0.6537
02-12-15,USD,1
02-12-15,CAD,1.256
02-12-15,AUD,1.3031
02-12-15,EUR,0.8828
02-12-15,GBP,0.6511
2/13/2015,USD,1
2/13/2015,CAD,1.2508
2/13/2015,AUD,1.2907
2/13/2015,EUR,0.8787
2/13/2015,GBP,0.6503
2/14/2015,USD,1
2/14/2015,CAD,1.2508
2/14/2015,AUD,1.2907
2/14/2015,EUR,0.8787
2/14/2015,GBP,0.6503
2/15/2015,USD,1
2/15/2015,CAD,1.2508
2/15/2015,AUD,1.2907
2/15/2015,EUR,0.8787
2/15/2015,GBP,0.6503
2/16/2015,USD,1
2/16/2015,CAD,1.2453
2/16/2015,AUD,1.2859
2/16/2015,EUR,0.8766
2/16/2015,GBP,0.6505
2/17/2015,USD,1
2/17/2015,CAD,1.2374
2/17/2015,AUD,1.2784
2/17/2015,EUR,0.876
2/17/2015,GBP,0.6512
2/18/2015,USD,1
2/18/2015,CAD,1.245
2/18/2015,AUD,1.2837
2/18/2015,EUR,0.8794
2/18/2015,GBP,0.6483
2/19/2015,USD,1
2/19/2015,CAD,1.252
2/19/2015,AUD,1.285
2/19/2015,EUR,0.8782
2/19/2015,GBP,0.648
2/20/2015,USD,1
2/20/2015,CAD,1.2456
2/20/2015,AUD,1.2745
2/20/2015,EUR,0.8851
2/20/2015,GBP,0.6504
2/21/2015,USD,1
2/21/2015,CAD,1.2456
2/21/2015,AUD,1.2745
2/21/2015,EUR,0.8851
2/21/2015,GBP,0.6504
2/22/2015,USD,1
2/22/2015,CAD,1.2456
2/22/2015,AUD,1.2745
2/22/2015,EUR,0.8851
2/22/2015,GBP,0.6504
2/23/2015,USD,1
2/23/2015,CAD,1.2618
2/23/2015,AUD,1.2843
2/23/2015,EUR,0.8851
2/23/2015,GBP,0.6507
2/24/2015,USD,1
2/24/2015,CAD,1.2643
2/24/2015,AUD,1.2896
2/24/2015,EUR,0.8828
2/24/2015,GBP,0.6483
2/25/2015,USD,1
2/25/2015,CAD,1.2441
2/25/2015,AUD,1.2681
2/25/2015,EUR,0.8814
2/25/2015,GBP,0.6459
2/26/2015,USD,1
2/26/2015,CAD,1.247
2/26/2015,AUD,1.2686
2/26/2015,EUR,0.8836
2/26/2015,GBP,0.6451
2/27/2015,USD,1
2/27/2015,CAD,1.2451
2/27/2015,AUD,1.2774
2/27/2015,EUR,0.8897
2/27/2015,GBP,0.6475
2/28/2015,USD,1
2/28/2015,CAD,1.2451
2/28/2015,AUD,1.2774
2/28/2015,EUR,0.8897
2/28/2015,GBP,0.6475
03-01-15,USD,1
03-01-15,CAD,1.2451
03-01-15,AUD,1.2774
03-01-15,EUR,0.8897
03-01-15,GBP,0.6475
03-02-15,USD,1
03-02-15,CAD,1.2492
03-02-15,AUD,1.2856
03-02-15,EUR,0.8907
03-02-15,GBP,0.6497
03-03-15,USD,1
03-03-15,CAD,1.2519
03-03-15,AUD,1.2794
03-03-15,EUR,0.8954
03-03-15,GBP,0.6515
03-04-15,USD,1
03-04-15,CAD,1.2515
03-04-15,AUD,1.2757
03-04-15,EUR,0.899
03-04-15,GBP,0.6526
03-05-15,USD,1
03-05-15,CAD,1.244
03-05-15,AUD,1.2833
03-05-15,EUR,0.9034
03-05-15,GBP,0.6551
03-06-15,USD,1
03-06-15,CAD,1.2466
03-06-15,AUD,1.2761
03-06-15,EUR,0.9122
03-06-15,GBP,0.6586
03-07-15,USD,1
03-07-15,CAD,1.2466
03-07-15,AUD,1.2761
03-07-15,EUR,0.9122
03-07-15,GBP,0.6586
03-08-15,USD,1
03-08-15,CAD,1.2466
03-08-15,AUD,1.2761
03-08-15,EUR,0.9122
03-08-15,GBP,0.6586
03-09-15,USD,1
03-09-15,CAD,1.2591
03-09-15,AUD,1.2931
03-09-15,EUR,0.9208
03-09-15,GBP,0.6617
03-10-15,USD,1
03-10-15,CAD,1.2634
03-10-15,AUD,1.3069
03-10-15,EUR,0.9313
03-10-15,GBP,0.6638
03-11-15,USD,1
03-11-15,CAD,1.2698
03-11-15,AUD,1.314
03-11-15,EUR,0.9454
03-11-15,GBP,0.6651
03-12-15,USD,1
03-12-15,CAD,1.2656
03-12-15,AUD,1.2976
03-12-15,EUR,0.9422
03-12-15,GBP,0.6681
3/13/2015,USD,1
3/13/2015,CAD,1.2734
3/13/2015,AUD,1.3053
3/13/2015,EUR,0.9459
3/13/2015,GBP,0.6766
3/14/2015,USD,1
3/14/2015,CAD,1.2734
3/14/2015,AUD,1.3053
3/14/2015,EUR,0.9459
3/14/2015,GBP,0.6766
3/15/2015,USD,1
3/15/2015,CAD,1.2734
3/15/2015,AUD,1.3053
3/15/2015,EUR,0.9459
3/15/2015,GBP,0.6766
3/16/2015,USD,1
3/16/2015,CAD,1.2781
3/16/2015,AUD,1.3069
3/16/2015,EUR,0.9472
3/16/2015,GBP,0.6755
3/17/2015,USD,1
3/17/2015,CAD,1.2774
3/17/2015,AUD,1.3083
3/17/2015,EUR,0.9403
3/17/2015,GBP,0.677
3/18/2015,USD,1
3/18/2015,CAD,1.2824
3/18/2015,AUD,1.3124
3/18/2015,EUR,0.9441
3/18/2015,GBP,0.6826
3/19/2015,USD,1
3/19/2015,CAD,1.2717
3/19/2015,AUD,1.308
3/19/2015,EUR,0.9366
3/19/2015,GBP,0.6728
3/20/2015,USD,1
3/20/2015,CAD,1.2672
3/20/2015,AUD,1.2981
3/20/2015,EUR,0.928
3/20/2015,GBP,0.6733
3/21/2015,USD,1
3/21/2015,CAD,1.2672
3/21/2015,AUD,1.2981
3/21/2015,EUR,0.928
3/21/2015,GBP,0.6733
3/22/2015,USD,1
3/22/2015,CAD,1.2672
3/22/2015,AUD,1.2981
3/22/2015,EUR,0.928
3/22/2015,GBP,0.6733
3/23/2015,USD,1
3/23/2015,CAD,1.2525
3/23/2015,AUD,1.2773
3/23/2015,EUR,0.9164
3/23/2015,GBP,0.6706
3/24/2015,USD,1
3/24/2015,CAD,1.2465
3/24/2015,AUD,1.2642
3/24/2015,EUR,0.9132
3/24/2015,GBP,0.6707
3/25/2015,USD,1
3/25/2015,CAD,1.2482
3/25/2015,AUD,1.2676
3/25/2015,EUR,0.9103
3/25/2015,GBP,0.6705
3/26/2015,USD,1
3/26/2015,CAD,1.2442
3/26/2015,AUD,1.2749
3/26/2015,EUR,0.9113
3/26/2015,GBP,0.6717
3/27/2015,USD,1
3/27/2015,CAD,1.2509
3/27/2015,AUD,1.2841
3/27/2015,EUR,0.9211
3/27/2015,GBP,0.6723
3/28/2015,USD,1
3/28/2015,CAD,1.2509
3/28/2015,AUD,1.2841
3/28/2015,EUR,0.9211
3/28/2015,GBP,0.6723
3/29/2015,USD,1
3/29/2015,CAD,1.2509
3/29/2015,AUD,1.2841
3/29/2015,EUR,0.9211
3/29/2015,GBP,0.6723
3/30/2015,USD,1
3/30/2015,CAD,1.2641
3/30/2015,AUD,1.3055
3/30/2015,EUR,0.9221
3/30/2015,GBP,0.6757
3/31/2015,USD,1
3/31/2015,CAD,1.2769
3/31/2015,AUD,1.3155
3/31/2015,EUR,0.9295
3/31/2015,GBP,0.676
04-01-15,USD,1
04-01-15,CAD,1.2675
04-01-15,AUD,1.3159
04-01-15,EUR,0.9298
04-01-15,GBP,0.6774
04-02-15,USD,1
04-02-15,CAD,1.2644
04-02-15,AUD,1.3244
04-02-15,EUR,0.9234
04-02-15,GBP,0.6755
04-03-15,USD,1
04-03-15,CAD,1.2644
04-03-15,AUD,1.3244
04-03-15,EUR,0.9234
04-03-15,GBP,0.6755
04-04-15,USD,1
04-04-15,CAD,1.2644
04-04-15,AUD,1.3244
04-04-15,EUR,0.9234
04-04-15,GBP,0.6755
04-05-15,USD,1
04-05-15,CAD,1.2644
04-05-15,AUD,1.3244
04-05-15,EUR,0.9234
04-05-15,GBP,0.6755
04-06-15,USD,1
04-06-15,CAD,1.2644
04-06-15,AUD,1.3244
04-06-15,EUR,0.9234
04-06-15,GBP,0.6755
04-07-15,USD,1
04-07-15,CAD,1.2504
04-07-15,AUD,1.3084
04-07-15,EUR,0.9219
04-07-15,GBP,0.6717
04-08-15,USD,1
04-08-15,CAD,1.2417
04-08-15,AUD,1.2961
04-08-15,EUR,0.9206
04-08-15,GBP,0.6688
04-09-15,USD,1
04-09-15,CAD,1.2524
04-09-15,AUD,1.2949
04-09-15,EUR,0.9282
04-09-15,GBP,0.6746
04-10-15,USD,1
04-10-15,CAD,1.2664
04-10-15,AUD,1.3079
04-10-15,EUR,0.9461
04-10-15,GBP,0.6853
04-11-15,USD,1
04-11-15,CAD,1.2664
04-11-15,AUD,1.3079
04-11-15,EUR,0.9461
04-11-15,GBP,0.6853
04-12-15,USD,1
04-12-15,CAD,1.2664
04-12-15,AUD,1.3079
04-12-15,EUR,0.9461
04-12-15,GBP,0.6853
4/13/2015,USD,1
4/13/2015,CAD,1.2627
4/13/2015,AUD,1.3197
4/13/2015,EUR,0.9477
4/13/2015,GBP,0.6838
4/14/2015,USD,1
4/14/2015,CAD,1.2582
4/14/2015,AUD,1.3192
4/14/2015,EUR,0.9466
4/14/2015,GBP,0.6832
4/15/2015,USD,1
4/15/2015,CAD,1.255
4/15/2015,AUD,1.3182
4/15/2015,EUR,0.9453
4/15/2015,GBP,0.6776
4/16/2015,USD,1
4/16/2015,CAD,1.2305
4/16/2015,AUD,1.2875
4/16/2015,EUR,0.9336
4/16/2015,GBP,0.6712
4/17/2015,USD,1
4/17/2015,CAD,1.2191
4/17/2015,AUD,1.28
4/17/2015,EUR,0.9247
4/17/2015,GBP,0.6657
4/18/2015,USD,1
4/18/2015,CAD,1.2191
4/18/2015,AUD,1.28
4/18/2015,EUR,0.9247
4/18/2015,GBP,0.6657
4/19/2015,USD,1
4/19/2015,CAD,1.2191
4/19/2015,AUD,1.28
4/19/2015,EUR,0.9247
4/19/2015,GBP,0.6657
4/20/2015,USD,1
4/20/2015,CAD,1.2252
4/20/2015,AUD,1.2891
4/20/2015,EUR,0.9326
4/20/2015,GBP,0.671
4/21/2015,USD,1
4/21/2015,CAD,1.2229
4/21/2015,AUD,1.2917
4/21/2015,EUR,0.9346
4/21/2015,GBP,0.6717
4/22/2015,USD,1
4/22/2015,CAD,1.2242
4/22/2015,AUD,1.2842
4/22/2015,EUR,0.9308
4/22/2015,GBP,0.6636
4/23/2015,USD,1
4/23/2015,CAD,1.2226
4/23/2015,AUD,1.2938
4/23/2015,EUR,0.9283
4/23/2015,GBP,0.6656
4/24/2015,USD,1
4/24/2015,CAD,1.2119
4/24/2015,AUD,1.2827
4/24/2015,EUR,0.9239
4/24/2015,GBP,0.6614
4/25/2015,USD,1
4/25/2015,CAD,1.2119
4/25/2015,AUD,1.2827
4/25/2015,EUR,0.9239
4/25/2015,GBP,0.6614
4/26/2015,USD,1
4/26/2015,CAD,1.2119
4/26/2015,AUD,1.2827
4/26/2015,EUR,0.9239
4/26/2015,GBP,0.6614
4/27/2015,USD,1
4/27/2015,CAD,1.2156
4/27/2015,AUD,1.2814
4/27/2015,EUR,0.924
4/27/2015,GBP,0.6618
4/28/2015,USD,1
4/28/2015,CAD,1.2069
4/28/2015,AUD,1.2585
4/28/2015,EUR,0.9152
4/28/2015,GBP,0.6543
4/29/2015,USD,1
4/29/2015,CAD,1.2054
4/29/2015,AUD,1.2509
4/29/2015,EUR,0.9089
4/29/2015,GBP,0.6509
4/30/2015,USD,1
4/30/2015,CAD,1.202
4/30/2015,AUD,1.2627
4/30/2015,EUR,0.8917
4/30/2015,GBP,0.648
05-01-15,USD,1
05-01-15,CAD,1.202
05-01-15,AUD,1.2627
05-01-15,EUR,0.8917
05-01-15,GBP,0.648
05-02-15,USD,1
05-02-15,CAD,1.202
05-02-15,AUD,1.2627
05-02-15,EUR,0.8917
05-02-15,GBP,0.648
05-03-15,USD,1
05-03-15,CAD,1.202
05-03-15,AUD,1.2627
05-03-15,EUR,0.8917
05-03-15,GBP,0.648
05-04-15,USD,1
05-04-15,CAD,1.2116
05-04-15,AUD,1.2756
05-04-15,EUR,0.8967
05-04-15,GBP,0.6617
05-05-15,USD,1
05-05-15,CAD,1.209
05-05-15,AUD,1.27
05-05-15,EUR,0.8995
05-05-15,GBP,0.6611
05-06-15,USD,1
05-06-15,CAD,1.201
05-06-15,AUD,1.2493
05-06-15,EUR,0.8905
05-06-15,GBP,0.6568
05-07-15,USD,1
05-07-15,CAD,1.207
05-07-15,AUD,1.2548
05-07-15,EUR,0.8846
05-07-15,GBP,0.6568
05-08-15,USD,1
05-08-15,CAD,1.2103
05-08-15,AUD,1.2638
05-08-15,EUR,0.8912
05-08-15,GBP,0.6488
05-09-15,USD,1
05-09-15,CAD,1.2103
05-09-15,AUD,1.2638
05-09-15,EUR,0.8912
05-09-15,GBP,0.6488
05-10-15,USD,1
05-10-15,CAD,1.2103
05-10-15,AUD,1.2638
05-10-15,EUR,0.8912
05-10-15,GBP,0.6488
05-11-15,USD,1
05-11-15,CAD,1.2114
05-11-15,AUD,1.267
05-11-15,EUR,0.8975
05-11-15,GBP,0.6458
05-12-15,USD,1
05-12-15,CAD,1.204
05-12-15,AUD,1.2519
05-12-15,EUR,0.8898
05-12-15,GBP,0.6374
5/13/2015,USD,1
5/13/2015,CAD,1.1974
5/13/2015,AUD,1.2428
5/13/2015,EUR,0.8912
5/13/2015,GBP,0.6393
5/14/2015,USD,1
5/14/2015,CAD,1.1949
5/14/2015,AUD,1.2336
5/14/2015,EUR,0.8757
5/14/2015,GBP,0.6332
5/15/2015,USD,1
5/15/2015,CAD,1.2037
5/15/2015,AUD,1.2499
5/15/2015,EUR,0.8828
5/15/2015,GBP,0.6366
5/16/2015,USD,1
5/16/2015,CAD,1.2037
5/16/2015,AUD,1.2499
5/16/2015,EUR,0.8828
5/16/2015,GBP,0.6366
5/17/2015,USD,1
5/17/2015,CAD,1.2037
5/17/2015,AUD,1.2499
5/17/2015,EUR,0.8828
5/17/2015,GBP,0.6366
5/18/2015,USD,1
5/18/2015,CAD,1.2058
5/18/2015,AUD,1.2493
5/18/2015,EUR,0.878
5/18/2015,GBP,0.6383
5/19/2015,USD,1
5/19/2015,CAD,1.2181
5/19/2015,AUD,1.2547
5/19/2015,EUR,0.8945
5/19/2015,GBP,0.6457
5/20/2015,USD,1
5/20/2015,CAD,1.2213
5/20/2015,AUD,1.2655
5/20/2015,EUR,0.8994
5/20/2015,GBP,0.6437
5/21/2015,USD,1
5/21/2015,CAD,1.2216
5/21/2015,AUD,1.2676
5/21/2015,EUR,0.8982
5/21/2015,GBP,0.6377
5/22/2015,USD,1
5/22/2015,CAD,1.22
5/22/2015,AUD,1.2686
5/22/2015,EUR,0.8957
5/22/2015,GBP,0.6394
5/23/2015,USD,1
5/23/2015,CAD,1.22
5/23/2015,AUD,1.2686
5/23/2015,EUR,0.8957
5/23/2015,GBP,0.6394
5/24/2015,USD,1
5/24/2015,CAD,1.22
5/24/2015,AUD,1.2686
5/24/2015,EUR,0.8957
5/24/2015,GBP,0.6394
5/25/2015,USD,1
5/25/2015,CAD,1.2294
5/25/2015,AUD,1.2774
5/25/2015,EUR,0.9109
5/25/2015,GBP,0.6467
5/26/2015,USD,1
5/26/2015,CAD,1.2374
5/26/2015,AUD,1.2832
5/26/2015,EUR,0.9152
5/26/2015,GBP,0.6495
5/27/2015,USD,1
5/27/2015,CAD,1.2456
5/27/2015,AUD,1.297
5/27/2015,EUR,0.9206
5/27/2015,GBP,0.6508
5/28/2015,USD,1
5/28/2015,CAD,1.2476
5/28/2015,AUD,1.3094
5/28/2015,EUR,0.9178
5/28/2015,GBP,0.6538
5/29/2015,USD,1
5/29/2015,CAD,1.2443
5/29/2015,AUD,1.307
5/29/2015,EUR,0.9116
5/29/2015,GBP,0.6554
5/30/2015,USD,1
5/30/2015,CAD,1.2443
5/30/2015,AUD,1.307
5/30/2015,EUR,0.9116
5/30/2015,GBP,0.6554
5/31/2015,USD,1
5/31/2015,CAD,1.2443
5/31/2015,AUD,1.307
5/31/2015,EUR,0.9116
5/31/2015,GBP,0.6554
06-01-15,USD,1
06-01-15,CAD,1.2494
06-01-15,AUD,1.3104
06-01-15,EUR,0.9137
06-01-15,GBP,0.6572
06-02-15,USD,1
06-02-15,CAD,1.2498
06-02-15,AUD,1.3004
06-02-15,EUR,0.9067
06-02-15,GBP,0.6567
06-03-15,USD,1
06-03-15,CAD,1.2445
06-03-15,AUD,1.2862
06-03-15,EUR,0.8981
06-03-15,GBP,0.6534
06-04-15,USD,1
06-04-15,CAD,1.2449
06-04-15,AUD,1.2917
06-04-15,EUR,0.8836
06-04-15,GBP,0.6498
06-05-15,USD,1
06-05-15,CAD,1.25
06-05-15,AUD,1.2956
06-05-15,EUR,0.8914
06-05-15,GBP,0.6523
06-06-15,USD,1
06-06-15,CAD,1.25
06-06-15,AUD,1.2956
06-06-15,EUR,0.8914
06-06-15,GBP,0.6523
06-07-15,USD,1
06-07-15,CAD,1.25
06-07-15,AUD,1.2956
06-07-15,EUR,0.8914
06-07-15,GBP,0.6523
06-08-15,USD,1
06-08-15,CAD,1.2434
06-08-15,AUD,1.3094
06-08-15,EUR,0.8959
06-08-15,GBP,0.6556
06-09-15,USD,1
06-09-15,CAD,1.2347
06-09-15,AUD,1.2984
06-09-15,EUR,0.889
06-09-15,GBP,0.6537
06-10-15,USD,1
06-10-15,CAD,1.2236
06-10-15,AUD,1.2919
06-10-15,EUR,0.8866
06-10-15,GBP,0.6458
06-11-15,USD,1
06-11-15,CAD,1.2321
06-11-15,AUD,1.2939
06-11-15,EUR,0.8903
06-11-15,GBP,0.6469
06-12-15,USD,1
06-12-15,CAD,1.2303
06-12-15,AUD,1.2977
06-12-15,EUR,0.8913
06-12-15,GBP,0.6457
6/13/2015,USD,1
6/13/2015,CAD,1.2303
6/13/2015,AUD,1.2977
6/13/2015,EUR,0.8913
6/13/2015,GBP,0.6457
6/14/2015,USD,1
6/14/2015,CAD,1.2303
6/14/2015,AUD,1.2977
6/14/2015,EUR,0.8913
6/14/2015,GBP,0.6457
6/15/2015,USD,1
6/15/2015,CAD,1.2342
6/15/2015,AUD,1.2895
6/15/2015,EUR,0.8914
6/15/2015,GBP,0.6449
6/16/2015,USD,1
6/16/2015,CAD,1.2343
6/16/2015,AUD,1.2913
6/16/2015,EUR,0.8917
6/16/2015,GBP,0.6404
6/17/2015,USD,1
6/17/2015,CAD,1.2312
6/17/2015,AUD,1.3028
6/17/2015,EUR,0.8866
6/17/2015,GBP,0.6357
6/18/2015,USD,1
6/18/2015,CAD,1.216
6/18/2015,AUD,1.2776
6/18/2015,EUR,0.8769
6/18/2015,GBP,0.6285
6/19/2015,USD,1
6/19/2015,CAD,1.2271
6/19/2015,AUD,1.2914
6/19/2015,EUR,0.885
6/19/2015,GBP,0.6314
6/20/2015,USD,1
6/20/2015,CAD,1.2271
6/20/2015,AUD,1.2914
6/20/2015,EUR,0.885
6/20/2015,GBP,0.6314
6/21/2015,USD,1
6/21/2015,CAD,1.2271
6/21/2015,AUD,1.2914
6/21/2015,EUR,0.885
6/21/2015,GBP,0.6314
6/22/2015,USD,1
6/22/2015,CAD,1.2234
6/22/2015,AUD,1.2883
6/22/2015,EUR,0.8814
6/22/2015,GBP,0.6319
6/23/2015,USD,1
6/23/2015,CAD,1.2339
6/23/2015,AUD,1.2976
6/23/2015,EUR,0.8925
6/23/2015,GBP,0.6338
6/24/2015,USD,1
6/24/2015,CAD,1.2301
6/24/2015,AUD,1.2907
6/24/2015,EUR,0.8918
6/24/2015,GBP,0.6348
6/25/2015,USD,1
6/25/2015,CAD,1.2384
6/25/2015,AUD,1.2919
6/25/2015,EUR,0.8924
6/25/2015,GBP,0.6359
6/26/2015,USD,1
6/26/2015,CAD,1.2365
6/26/2015,AUD,1.3061
6/26/2015,EUR,0.8927
6/26/2015,GBP,0.6359
6/27/2015,USD,1
6/27/2015,CAD,1.2365
6/27/2015,AUD,1.3061
6/27/2015,EUR,0.8927
6/27/2015,GBP,0.6359
6/28/2015,USD,1
6/28/2015,CAD,1.2365
6/28/2015,AUD,1.3061
6/28/2015,EUR,0.8927
6/28/2015,GBP,0.6359
6/29/2015,USD,1
6/29/2015,CAD,1.2374
6/29/2015,AUD,1.3048
6/29/2015,EUR,0.8982
6/29/2015,GBP,0.6364
6/30/2015,USD,1
6/30/2015,CAD,1.2368
6/30/2015,AUD,1.3004
6/30/2015,EUR,0.8937
6/30/2015,GBP,0.6358
07-01-15,USD,1
07-01-15,CAD,1.2524
07-01-15,AUD,1.3025
07-01-15,EUR,0.9009
07-01-15,GBP,0.6388
07-02-15,USD,1
07-02-15,CAD,1.2618
07-02-15,AUD,1.3169
07-02-15,EUR,0.9037
07-02-15,GBP,0.6419
07-03-15,USD,1
07-03-15,CAD,1.2582
07-03-15,AUD,1.329
07-03-15,EUR,0.9012
07-03-15,GBP,0.6401
07-04-15,USD,1
07-04-15,CAD,1.2582
07-04-15,AUD,1.329
07-04-15,EUR,0.9012
07-04-15,GBP,0.6401
07-05-15,USD,1
07-05-15,CAD,1.2582
07-05-15,AUD,1.329
07-05-15,EUR,0.9012
07-05-15,GBP,0.6401
07-06-15,USD,1
07-06-15,CAD,1.264
07-06-15,AUD,1.3343
07-06-15,EUR,0.9084
07-06-15,GBP,0.6432
07-07-15,USD,1
07-07-15,CAD,1.2739
07-07-15,AUD,1.3468
07-07-15,EUR,0.9148
07-07-15,GBP,0.6474
07-08-15,USD,1
07-08-15,CAD,1.2743
07-08-15,AUD,1.3485
07-08-15,EUR,0.9071
07-08-15,GBP,0.6507
07-09-15,USD,1
07-09-15,CAD,1.2685
07-09-15,AUD,1.3403
07-09-15,EUR,0.9046
07-09-15,GBP,0.6492
07-10-15,USD,1
